rmse,mae,pearson,spearman,directional_accuracy,r2,coef_cv_median,coef_sign_consistency,active_terms_mean,config,horizon,folds,n_oos,library_terms,selection_score
1.0119074975201865,0.9980585921113584,0.013399183364799614,0.025458240198951744,0.5167955534074432,-0.02396166377244291,0.7829869939740968,0.7045454545454547,59.5,poly2_stlsq_002,4h,6,8276,66,-0.022848786307754023
1.0005282362938306,0.8727294011521327,0.013849067794366078,0.02968965484901818,0.5020541324311262,-0.027559246232829793,0.6751194199939579,0.7070707070707071,57.333333333333336,poly2_stlsq_002,12h,6,8276,66,-0.01734452326311937
0.9853377145409771,0.8308889340412372,0.015491320130876087,0.01699446114609492,0.5057999033349444,-0.032061641077505865,0.4764239897831099,0.7994791666666667,57.833333333333336,poly2_stlsq_002,24h,6,8276,66,-0.024955454127687217
1.0121153033873687,0.9992696088015806,0.0059558785368581165,0.027670396098822863,0.5157080715321412,-0.024382269590403016,0.7444515291589658,0.7063492063492065,50.166666666666664,poly2_stlsq_005,4h,6,8276,66,-0.022020770846304702
1.0006891170603334,0.8733563165738132,0.008716459088803731,0.0279008386677029,0.500724987916868,-0.027889727280952403,0.7088989918258162,0.6854838709677419,48.5,poly2_stlsq_005,12h,6,8276,66,-0.020866139528471203
0.9847658959355932,0.8306597281384962,0.01663005695988489,0.01859563702017766,0.5057999033349444,-0.030864121082435414,0.45566914584943063,0.827777777777778,52.333333333333336,poly2_stlsq_005,24h,6,8276,66,-0.021388342349031243
1.0120867120547075,1.0013268241715072,-0.007148487697153063,0.011866348063431115,0.5033832769453842,-0.024324394681372485,1.216840934470944,0.5462962962962964,32.166666666666664,poly2_stlsq_010,4h,6,8276,66,-0.05072184033499025
1.0007977324304922,0.8735614938758044,-0.006489587538978691,0.0012823286080068097,0.49770420492991785,-0.028112874870535487,1.0550696953569876,0.48742138364779874,28.5,poly2_stlsq_010,12h,6,8276,66,-0.057137341209088255
0.9825230075593304,0.8290075358531902,0.014366302937109098,0.013878385459981418,0.5022957950700822,-0.026173706544947217,0.5352731745751768,0.7424242424242424,42.166666666666664,poly2_stlsq_010,24h,6,8276,66,-0.027065032980674184
1.1519258152655476,1.0410032252957095,-0.0035575745235405343,0.00933309720951861,0.5084581923634606,-0.32693940811194055,1.0997550133307359,0.5224586288416077,220.33333333333334,poly3_stlsq_010,4h,6,8276,286,-0.06759166969060357
1.1817384346612447,0.9404164709942788,-0.01338492148829827,-0.006796714648576661,0.4972208796520058,-0.4334775434598277,1.2471204919336552,0.4273504273504274,181.33333333333334,poly3_stlsq_010,12h,6,8276,286,-0.09076786240373703
1.1657292357979243,0.9116613254361077,-0.004300891511411244,-0.0153651005760669,0.49806669888835187,-0.44454408933837897,1.3248857235816318,0.4538369304556355,185.5,poly3_stlsq_010,24h,6,8276,286,-0.09649090330540869
1.0008890278765932,0.9983972847455078,0.02277705126577426,0.0047094627106340145,0.5080956984050266,-0.0017836206573476066,1.1278469731066747,0.3777777777777778,7.666666666666667,fourier1_stlsq_005,4h,6,8276,20,-0.02724422377164342
0.9892613287228956,0.8679024906159898,0.01925529506231562,0.017928077730364107,0.500362493958434,-0.0045469448613351116,1.3548658631724624,0.48717948717948717,6.666666666666667,fourier1_stlsq_005,12h,6,8276,20,-0.01987416187869433
0.9739856308790827,0.8250667781942972,-0.03303890910527852,-0.030672882573836196,0.48550024166263894,-0.008417849576193737,2.23606797726664,0.3888888888888889,4.666666666666667,fourier1_stlsq_005,24h,6,8276,20,-0.11070968305942543
1.0023855826198549,0.9986858775722095,0.015305491385821013,0.004604098023390478,0.5039874335427743,-0.0047816450664242005,1.266849087344512,0.3416666666666667,9.166666666666666,fourier2_stlsq_005,4h,6,8276,40,-0.035872538625764394
0.9919505855501504,0.8690801529173708,0.010953077574546404,0.013709509016445862,0.5055582406959884,-0.010015988431405054,1.4572732164598712,0.36231884057971014,9.0,fourier2_stlsq_005,12h,6,8276,40,-0.032429443385819975
0.9771163096815718,0.8261412604884356,-0.03288066855448395,-0.02865057970486546,0.4975833736104398,-0.01491097658929097,1.6118257181989688,0.2833333333333333,6.333333333333333,fourier2_stlsq_005,24h,6,8276,40,-0.0974933926319449
1.0229862113698713,1.0012973646482983,0.01811130513577772,0.01676001118606479,0.5128081198646689,-0.04650577633373976,1.0859147845580717,0.5576923076923077,78.0,custom_poly2_stlsq_005,4h,6,8276,120,-0.03831629847541111
1.013592400809802,0.879084090370501,0.0034972875237405635,0.019403904761382144,0.49770420492991785,-0.05456866836715868,1.369978421408463,0.4826388888888889,58.666666666666664,custom_poly2_stlsq_005,12h,6,8276,120,-0.047364334583651496
1.0029508951576482,0.8409357182300267,-0.004775504019710344,0.001942810346520915,0.49891251812469795,-0.06928817808512422,1.2151825007497505,0.5283333333333333,67.5,custom_poly2_stlsq_005,24h,6,8276,120,-0.06712567731854127
1.3412723067569114,1.1112859912486805,-0.015254943763253074,-0.03929137506749898,0.4931126147897535,-0.7990199750612175,0.8143976174883714,0.6696428571428571,42.166666666666664,poly2_sr3_lam001,4h,6,8276,66,-0.10154622374463243
1.21708621880663,0.96436812556669,-0.011969337968573137,-0.008290572760049466,0.4934751087481875,-0.520515536887924,0.559085422503306,0.7083333333333333,38.5,poly2_sr3_lam001,12h,6,8276,66,-0.06287244603865416
1.2619390837225635,0.9579515809134107,-0.006435749513313539,-0.008492671269987963,0.4987916868052199,-0.6928255569049606,0.4257547467957022,0.793939393939394,45.0,poly2_sr3_lam001,24h,6,8276,66,-0.05863288624692774
